pathwayName,searchTerms,genes,library,diseaseId,name,therapeuticAreas,id
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,HPCAL4,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000116983
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,HNRNPM,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000099783
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,FNDC4,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000115226
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,MYL7,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000106631
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,DDX39B,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000198563
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ASPHD1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000174939
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PSMC3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000165916
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SIK3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000160584
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,RETREG3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000141699
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,TP53,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000141510
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,STX1A,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000106089
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,RRN3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000085721
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,NYAP2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000144460
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,AQP9,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000103569
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,IFT172,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000138002
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PDXDC1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000179889
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CBLC,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000142273
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,LCAT,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000213398
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,C9ORF57,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,FNBP1L,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000137942
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,AQP2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000167580
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PSMB10,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000205220
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SPDEF,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000124664
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,KRTCAP3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000157992
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,C16ORF92,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CLPTM1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000104853
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,DENR,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000139726
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CCNL1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000163660
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ZFPL1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000162300
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,BATF2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000168062
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ANKDD1B,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000189045
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ABCA1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000165029
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,HLA-DRB5,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000198502
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,KLF14,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000266265
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,DNAH17,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000187775
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,TNFSF13,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000161955
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,GADD45G,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000130222
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,HLA-C,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000204525
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,VPS37D,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000176428
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,FZD9,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000188763
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,GPN1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000198522
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,TEX15,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000133863
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,BAZ1B,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000009954
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,HLA-B,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000234745
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,TUBG2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000037042
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ELL3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000128886
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,TUBG1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000131462
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ARFGAP2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000149182
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,THAP11,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000168286
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,NTAN1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000157045
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,MLLT10,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000078403
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,BCAM,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000187244
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,RPS28,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000233927
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,BANK1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000153064
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,TBL2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000106638
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,GORASP1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000114745
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,FAT3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000165323
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,NOSTRIN,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000163072
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CEP68,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000011523
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,HLA-DRB1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000196126
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CETP,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000087237
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,MACF1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000127603
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SLC4A1AP,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000163798
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SPI1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000066336
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,WDR48,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000114742
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CDCA5,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000146670
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,DOC2A,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000149927
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,FAM89B,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000176973
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,JMJD1C,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000171988
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,LIPC,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000166035
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ZBTB4,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000174282
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,LIPG,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000101670
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PPP4C,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000149923
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,NUDCD3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000015676
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PCNX3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000197136
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PGBD5,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000177614
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ZNHIT2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000174276
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SOX18,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000203883
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,KAT5,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000172977
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PTPMT1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000110536
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CRTAC1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000095713
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,AGMO,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000187546
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PPY,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000108849
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,TNFSF12,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000239697
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ACAD10,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000111271
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,APOE,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000130203
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ATP6V0A1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000033627
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,APOB,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000084674
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,DUSP3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000108861
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PNPT1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000138035
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,TLCD3B,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000149926
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,MYBPC3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000134571
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SEC16B,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000120341
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,BCDIN3D,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000186666
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,RAB3IL1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000167994
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,BMP8A,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000183682
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,NUTF2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000102898
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,C9ORF85,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,KBTBD4,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000123444
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,RNF146,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000118518
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CTRL,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000141086
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,NRN1L,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000188038
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,POC5,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000152359
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ITPKA,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000137825
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,KLHL8,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000145332
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PABPC4,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000090621
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,RAPSN,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000165917
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,COPG2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000158623
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ALDOA,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000149925
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CENPT,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000102901
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,RANBP10,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000141084
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CSRNP1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000144655
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,MAJIN,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000168070
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,INTS10,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000104613
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,TMEM160,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000130748
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,AEBP1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000106624
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,RTF1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000137815
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CFAP97D1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000231256
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ILRUN,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000196821
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,FXR2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000129245
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,GNGT2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000167083
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SOCS3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000184557
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PGS1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000087157
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PSMC3IP,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000131470
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,CTSK,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000143387
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,HNF4A,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000101076
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,RASSF10,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000189431
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,TMEM25,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000149582
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PACSIN3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000165912
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,FAM180B,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000196666
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,MLX,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000108788
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ASIC3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000213199
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,SLC18A1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000036565
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,ATP5MG,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000167283
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,PACSIN1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000124507
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,HLA-DQA1,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000196735
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,MPP2,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000108852
ABDOMINAL OBESITY-METABOLIC SYNDROME,obesity,MPP3,Jensen_DISEASES_Experimental_2025,EFO_0001073,obesity,['OTAR_0000020'],ENSG00000161647
